G14	G93	0.010355
G53	G34	0.010355
G90	G91	0.010353
G57	G73	0.010352
G90	G92	0.010352
G97	G41	0.010349
G83	G69	0.010348
G58	G83	0.010348
G43	G84	0.010348
G85	G44	0.010347
G33	G95	0.010347
G39	G97	0.010346
G42	G16	0.010345
G58	G34	0.010345
G4	G31	0.010345
G43	G39	0.010343
G77	G64	0.010343
G82	G46	0.010341
G1	G48	0.010340
G45	G88	0.010340
G87	G9	0.010340
G29	G72	0.010339
G30	G66	0.010338
G87	G56	0.010338
G88	G47	0.010338
G3	G19	0.010338
G72	G9	0.010337
G71	G89	0.010337
G60	G96	0.010336
G66	G25	0.010335
G47	G33	0.010335
G17	G64	0.010334
G58	G76	0.010334
G99	G40	0.010333
G56	G61	0.010333
G51	G67	0.010332
G93	G51	0.010330
G83	G10	0.010330
G31	G63	0.010329
G98	G65	0.010329
G6	G12	0.010328
G80	G67	0.010327
G53	G93	0.010326
G3	G10	0.010324
G80	G97	0.010322
G55	G26	0.010321
G32	G98	0.010321
G15	G68	0.010320
G72	G31	0.010319
G88	G64	0.010319
G50	G45	0.010319
G100	G39	0.010319
G50	G94	0.010319
G52	G1	0.010318
G96	G98	0.010318
G26	G90	0.010315
G25	G84	0.010313
G98	G10	0.010312
G27	G53	0.010310
G72	G17	0.010310
G23	G12	0.010310
G45	G40	0.010310
G70	G44	0.010309
G54	G92	0.010308
G9	G37	0.010308
G98	G8	0.010307
G33	G68	0.010306
G15	G10	0.010304
G65	G99	0.010304
G97	G3	0.010304
G75	G2	0.010303
G83	G56	0.010300
G92	G31	0.010300
G25	G15	0.010299
G44	G10	0.010298
G41	G49	0.010297
G17	G80	0.010297
G17	G60	0.010297
G18	G98	0.010296
G90	G58	0.010296
G59	G16	0.010294
G10	G75	0.010294
G95	G71	0.010291
G50	G31	0.010290
G75	G96	0.010290
G91	G17	0.010290
G56	G24	0.010289
G37	G89	0.010289
G49	G71	0.010288
G96	G58	0.010288
G10	G99	0.010288
G43	G15	0.010287
G71	G13	0.010285
G64	G46	0.010285
G29	G100	0.010284
G75	G9	0.010284
G6	G44	0.010283
G97	G74	0.010283
G64	G17	0.010282
G21	G29	0.010279
G9	G16	0.010279
G43	G66	0.010279
G95	G4	0.010279
G32	G86	0.010278
G13	G56	0.010277
G47	G52	0.010276
G85	G61	0.010276
G1	G61	0.010276
G40	G55	0.010275
G85	G4	0.010274
G43	G56	0.010273
G16	G96	0.010272
G78	G69	0.010272
G93	G74	0.010272
G41	G19	0.010271
G39	G72	0.010270
G97	G11	0.010269
G8	G69	0.010269
G57	G12	0.010268
G67	G22	0.010268
G13	G96	0.010267
G16	G30	0.010266
G69	G51	0.010265
G14	G11	0.010265
G56	G98	0.010264
G82	G13	0.010264
G95	G85	0.010264
G28	G55	0.010263
G74	G20	0.010261
G69	G49	0.010261
G60	G28	0.010260
G6	G33	0.010260
G84	G16	0.010260
G15	G46	0.010260
G37	G20	0.010259
G80	G55	0.010259
G71	G8	0.010258
G79	G92	0.010258
G97	G48	0.010257
G81	G83	0.010257
G19	G48	0.010256
G91	G87	0.010256
G65	G34	0.010255
G68	G15	0.010255
G33	G4	0.010254
G32	G58	0.010254
G88	G29	0.010253
G79	G85	0.010253
G60	G27	0.010252
G16	G34	0.010252
G71	G77	0.010250
G43	G97	0.010249
G28	G75	0.010248
G61	G16	0.010248
G71	G34	0.010247
G82	G36	0.010247
G22	G8	0.010247
G16	G68	0.010247
G40	G28	0.010246
G43	G38	0.010246
G96	G10	0.010246
G37	G93	0.010245
G100	G91	0.010244
G6	G24	0.010244
G83	G86	0.010243
G88	G74	0.010243
G99	G71	0.010243
G32	G100	0.010243
G66	G18	0.010242
G17	G54	0.010242
G75	G78	0.010242
G55	G8	0.010240
G100	G14	0.010240
G33	G70	0.010240
G84	G80	0.010239
G59	G96	0.010239
G22	G67	0.010238
G83	G22	0.010238
G73	G94	0.010237
G18	G97	0.010237
G86	G27	0.010236
G18	G56	0.010236
G82	G17	0.010235
G73	G69	0.010235
G79	G13	0.010234
G98	G21	0.010234
G43	G35	0.010234
G90	G53	0.010232
G70	G92	0.010231
G56	G14	0.010231
G21	G72	0.010231
G60	G54	0.010230
G60	G63	0.010230
G82	G99	0.010229
G98	G41	0.010229
G72	G88	0.010228
G53	G10	0.010228
G60	G97	0.010228
G63	G48	0.010228
G45	G35	0.010228
G30	G72	0.010227
G71	G44	0.010227
G30	G63	0.010227
G34	G100	0.010226
G99	G18	0.010226
G6	G40	0.010225
G92	G53	0.010224
G79	G11	0.010223
G19	G47	0.010223
G60	G77	0.010223
G77	G19	0.010223
G90	G45	0.010222
G87	G55	0.010222
G27	G17	0.010221
G29	G24	0.010221
G7	G84	0.010221
G26	G41	0.010221
G59	G80	0.010220
G76	G88	0.010220
G49	G82	0.010219
G91	G43	0.010218
G71	G56	0.010217
G20	G58	0.010217
G66	G77	0.010216
G55	G90	0.010215
G89	G58	0.010214
G40	G11	0.010214
G31	G97	0.010213
G81	G16	0.010213
G32	G2	0.010213
G8	G27	0.010213
G70	G34	0.010213
G29	G16	0.010212
G56	G30	0.010211
G30	G89	0.010210
G61	G19	0.010210
G88	G41	0.010210
G64	G53	0.010209
G40	G70	0.010208
G40	G76	0.010208
G45	G70	0.010208
G88	G67	0.010208
G54	G69	0.010208
G59	G4	0.010207
G23	G14	0.010207
G91	G39	0.010206
G48	G33	0.010206
G57	G44	0.010205
G28	G15	0.010203
G36	G16	0.010203
G83	G26	0.010202
G67	G26	0.010202
G63	G59	0.010201
G10	G44	0.010201
G81	G1	0.010200
G82	G57	0.010200
G95	G57	0.010199
G29	G7	0.010199
G89	G2	0.010196
G39	G66	0.010196
G63	G76	0.010196
G45	G2	0.010195
G81	G75	0.010195
G68	G59	0.010194
G63	G19	0.010194
G83	G46	0.010194
G17	G97	0.010194
G99	G54	0.010193
G96	G49	0.010193
G39	G25	0.010192
G53	G73	0.010192
G100	G15	0.010192
G17	G84	0.010191
G86	G39	0.010191
G22	G96	0.010191
G64	G96	0.010190
G45	G11	0.010189
G66	G53	0.010189
G31	G61	0.010188
G27	G36	0.010188
G51	G45	0.010187
G35	G85	0.010186
G48	G31	0.010186
G22	G6	0.010186
G13	G80	0.010185
G12	G24	0.010185
G81	G84	0.010185
G63	G47	0.010185
G75	G69	0.010185
G17	G83	0.010185
G79	G91	0.010185
G70	G77	0.010184
G92	G29	0.010183
G95	G67	0.010183
G74	G8	0.010183
G9	G58	0.010183
G15	G21	0.010182
G81	G3	0.010181
G47	G91	0.010180
G21	G67	0.010180
G36	G93	0.010179
G18	G5	0.010177
G84	G5	0.010177
G50	G78	0.010177
G80	G85	0.010177
G3	G28	0.010177
G27	G46	0.010176
G36	G35	0.010175
G97	G67	0.010175
G94	G38	0.010174
G73	G5	0.010173
G11	G85	0.010173
G45	G3	0.010173
G32	G92	0.010172
G80	G14	0.010172
G14	G24	0.010172
G12	G99	0.010172
G97	G73	0.010172
G33	G5	0.010171
G19	G85	0.010170
G34	G96	0.010170
G50	G41	0.010170
G99	G81	0.010168
G49	G86	0.010167
G8	G16	0.010167
G97	G51	0.010167
G16	G80	0.010167
G98	G74	0.010166
G54	G95	0.010166
G50	G26	0.010166
G28	G33	0.010165
G17	G94	0.010164
G98	G32	0.010164
G97	G69	0.010164
G83	G43	0.010163
G35	G7	0.010163
G10	G42	0.010162
G31	G95	0.010161
G81	G24	0.010161
G70	G17	0.010161
G15	G24	0.010160
G30	G61	0.010160
G84	G41	0.010158
G13	G95	0.010158
G75	G83	0.010157
G66	G81	0.010157
G80	G43	0.010157
G40	G89	0.010157
G20	G84	0.010157
G11	G100	0.010156
G84	G89	0.010156
G50	G19	0.010155
G97	G46	0.010155
G19	G26	0.010154
G61	G45	0.010154
G75	G8	0.010152
G4	G100	0.010152
G45	G21	0.010151
G58	G65	0.010151
G14	G83	0.010149
G94	G9	0.010149
G84	G22	0.010149
G34	G46	0.010148
G29	G84	0.010147
G80	G73	0.010147
G74	G39	0.010147
G13	G23	0.010146
G61	G83	0.010146
G81	G42	0.010145
G92	G1	0.010145
G80	G17	0.010145
G64	G71	0.010144
G43	G96	0.010143
G62	G2	0.010143
G85	G98	0.010143
G65	G1	0.010143
G49	G60	0.010143
G75	G66	0.010143
G50	G20	0.010142
G66	G75	0.010142
G58	G43	0.010141
G35	G100	0.010141
G10	G84	0.010141
G75	G64	0.010141
G49	G65	0.010141
G74	G93	0.010140
G82	G38	0.010139
G62	G74	0.010139
G57	G82	0.010139
G57	G92	0.010139
G17	G32	0.010138
G71	G33	0.010137
G77	G93	0.010136
G15	G80	0.010136
G95	G31	0.010136
G13	G32	0.010135
G3	G96	0.010135
G98	G38	0.010135
G28	G34	0.010134
G83	G99	0.010133
G23	G55	0.010133
G92	G63	0.010133
G33	G23	0.010133
G88	G21	0.010132
G93	G23	0.010132
G39	G92	0.010132
G56	G81	0.010132
G100	G38	0.010131
G67	G93	0.010131
G57	G48	0.010130
G49	G4	0.010130
G66	G43	0.010129
G80	G3	0.010129
G98	G66	0.010129
G45	G31	0.010129
G6	G93	0.010128
G48	G76	0.010128
G14	G28	0.010128
G45	G42	0.010128
G82	G11	0.010128
G95	G49	0.010127
G84	G12	0.010127
G75	G3	0.010126
G82	G85	0.010125
G41	G3	0.010125
G59	G14	0.010125
G60	G91	0.010125
G50	G48	0.010125
G35	G30	0.010125
G91	G21	0.010124
G95	G59	0.010124
G26	G56	0.010124
G76	G96	0.010124
G49	G45	0.010124
G37	G21	0.010123
G42	G100	0.010123
G46	G36	0.010123
G91	G22	0.010123
G84	G34	0.010122
G27	G8	0.010122
G61	G11	0.010122
G98	G11	0.010122
G80	G63	0.010121
G83	G37	0.010121
G88	G75	0.010121
G65	G20	0.010120
G89	G42	0.010120
G100	G71	0.010120
G49	G12	0.010120
G38	G21	0.010119
G50	G80	0.010119
G96	G69	0.010118
G85	G89	0.010117
G77	G39	0.010117
G51	G21	0.010117
G58	G45	0.010117
G35	G2	0.010117
G39	G62	0.010116
G72	G80	0.010115
G38	G49	0.010115
G58	G12	0.010115
G45	G46	0.010114
G79	G80	0.010114
G80	G25	0.010114
G15	G53	0.010112
G33	G98	0.010112
G52	G11	0.010112
G14	G42	0.010112
G16	G40	0.010111
G10	G50	0.010111
G38	G26	0.010111
G38	G94	0.010111
G43	G17	0.010111
G42	G72	0.010110
G73	G13	0.010110
G21	G47	0.010110
G52	G69	0.010109
G35	G23	0.010109
G60	G44	0.010109
G65	G25	0.010108
G42	G6	0.010108
G35	G55	0.010108
G54	G96	0.010108
G61	G62	0.010108
G48	G42	0.010108
G34	G84	0.010108
G49	G41	0.010107
G5	G98	0.010107
G89	G81	0.010107
G74	G96	0.010106
G83	G42	0.010106
G89	G59	0.010106
G30	G9	0.010105
G39	G59	0.010105
G56	G58	0.010104
G33	G29	0.010104
G56	G26	0.010104
G32	G50	0.010104
G6	G96	0.010104
G66	G42	0.010104
G38	G23	0.010104
G63	G14	0.010103
G84	G75	0.010103
G26	G83	0.010103
G95	G1	0.010103
G32	G22	0.010103
G85	G38	0.010103
G40	G46	0.010103
G23	G62	0.010102
G84	G49	0.010102
G17	G85	0.010101
G10	G41	0.010101
G33	G91	0.010101
G78	G68	0.010101
G79	G83	0.010100
G68	G76	0.010100
G92	G97	0.010100
G59	G95	0.010099
G60	G98	0.010099
G31	G16	0.010098
G60	G14	0.010097
G40	G100	0.010097
G53	G8	0.010097
G89	G84	0.010097
G29	G51	0.010097
G95	G51	0.010097
G68	G5	0.010097
G66	G17	0.010096
G1	G92	0.010096
G73	G41	0.010095
G66	G39	0.010094
G54	G16	0.010094
G71	G14	0.010094
G83	G81	0.010094
G33	G31	0.010093
G95	G54	0.010093
G90	G89	0.010093
G49	G1	0.010093
G25	G95	0.010093
G12	G92	0.010092
G53	G68	0.010092
G99	G85	0.010092
G17	G66	0.010092
G96	G74	0.010090
G89	G87	0.010090
G33	G81	0.010089
G68	G75	0.010088
G45	G78	0.010087
G34	G86	0.010086
G78	G66	0.010086
G45	G68	0.010085
G36	G10	0.010085
G95	G22	0.010085
G59	G13	0.010085
G79	G99	0.010085
G87	G37	0.010084
G35	G36	0.010084
G26	G91	0.010084
G45	G62	0.010084
G63	G5	0.010084
G15	G37	0.010083
G69	G11	0.010083
G65	G91	0.010082
G89	G32	0.010082
G53	G17	0.010082
G71	G36	0.010082
G90	G25	0.010081
G27	G22	0.010081
G74	G41	0.010081
G41	G8	0.010080
G35	G72	0.010080
G66	G88	0.010079
G17	G39	0.010079
G82	G70	0.010078
G68	G79	0.010078
G56	G75	0.010078
G70	G26	0.010077
G53	G14	0.010077
G40	G32	0.010077
G33	G52	0.010077
G63	G42	0.010076
G47	G74	0.010076
G94	G49	0.010076
G68	G17	0.010076
G27	G71	0.010075
G93	G50	0.010075
G30	G13	0.010075
G28	G43	0.010075
G20	G52	0.010074
G75	G81	0.010074
G46	G23	0.010074
G38	G80	0.010074
G80	G70	0.010074
G42	G39	0.010072
G38	G42	0.010072
G83	G14	0.010071
G49	G91	0.010071
G86	G23	0.010070
G24	G65	0.010070
G29	G21	0.010070
G94	G18	0.010070
G32	G66	0.010070
G42	G88	0.010070
G74	G1	0.010068
G13	G35	0.010068
G93	G42	0.010067
G36	G63	0.010067
G12	G1	0.010066
G67	G3	0.010065
G52	G26	0.010065
G46	G97	0.010064
G55	G2	0.010063
G17	G2	0.010063
G28	G58	0.010062
G72	G32	0.010062
G66	G36	0.010062
G75	G27	0.010061
G42	G3	0.010061
G92	G100	0.010061
G47	G6	0.010060
G75	G46	0.010060
G10	G20	0.010060
G14	G13	0.010060
G79	G29	0.010059
G90	G98	0.010059
G94	G2	0.010059
G40	G16	0.010059
G64	G6	0.010058
G25	G93	0.010058
G66	G5	0.010058
G95	G91	0.010057
G52	G2	0.010057
G14	G49	0.010057
G61	G37	0.010056
G40	G96	0.010056
G40	G34	0.010056
G25	G40	0.010056
G58	G87	0.010056
G20	G45	0.010055
G39	G37	0.010055
G45	G94	0.010055
G48	G97	0.010054
G27	G68	0.010054
G82	G84	0.010053
G85	G39	0.010053
G60	G94	0.010052
G81	G50	0.010052
G99	G75	0.010052
G13	G38	0.010051
G39	G11	0.010050
G65	G30	0.010049
G100	G63	0.010049
G8	G28	0.010049
G1	G12	0.010049
G97	G55	0.010049
G50	G60	0.010049
G66	G23	0.010049
G72	G85	0.010048
G37	G17	0.010048
G40	G29	0.010048
G82	G52	0.010048
G88	G40	0.010048
G40	G25	0.010048
G99	G63	0.010048
G33	G27	0.010047
G43	G25	0.010047
G45	G75	0.010046
G99	G11	0.010046
G96	G43	0.010046
G87	G89	0.010046
G37	G16	0.010046
G46	G81	0.010045
G61	G84	0.010045
G38	G52	0.010044
G88	G23	0.010044
G97	G76	0.010044
G70	G4	0.010043
G84	G19	0.010042
G41	G69	0.010042
G64	G30	0.010042
G52	G25	0.010041
G11	G87	0.010041
G82	G24	0.010040
G100	G97	0.010040
G55	G86	0.010040
G96	G55	0.010039
G20	G39	0.010038
G77	G29	0.010038
G38	G89	0.010036
G12	G54	0.010036
G41	G31	0.010035
G98	G9	0.010034
G91	G42	0.010034
G93	G47	0.010034
G27	G31	0.010033
G92	G21	0.010033
G57	G18	0.010031
G96	G28	0.010031
G77	G38	0.010030
G55	G39	0.010030
G98	G88	0.010029
G35	G77	0.010029
G29	G81	0.010028
G45	G97	0.010027
G75	G87	0.010026
G73	G47	0.010026
G35	G28	0.010026
G93	G46	0.010026
G10	G2	0.010025
G53	G21	0.010024
G79	G40	0.010022
G49	G32	0.010022
G65	G41	0.010022
G18	G95	0.010021
G89	G44	0.010020
G97	G7	0.010019
G99	G41	0.010018
G67	G100	0.010018
G32	G81	0.010018
G100	G32	0.010017
G99	G100	0.010015
G84	G6	0.010015
G92	G20	0.010015
G38	G50	0.010012
G64	G20	0.010011
G98	G4	0.010008
G100	G43	0.010006
G1	G5	0.010000
G1	G6	0.010000
G1	G7	0.010000
G1	G8	0.010000
G1	G9	0.010000
G1	G11	0.010000
G1	G13	0.010000
G1	G14	0.010000
G1	G15	0.010000
G1	G18	0.010000
G1	G19	0.010000
G1	G20	0.010000
G1	G21	0.010000
G1	G22	0.010000
G1	G23	0.010000
G1	G24	0.010000
G1	G25	0.010000
G1	G26	0.010000
G1	G28	0.010000
G1	G29	0.010000
G1	G30	0.010000
G1	G31	0.010000
G1	G32	0.010000
G1	G35	0.010000
G1	G36	0.010000
G1	G37	0.010000
G1	G39	0.010000
G1	G40	0.010000
G1	G42	0.010000
G1	G43	0.010000
G1	G44	0.010000
G1	G46	0.010000
G1	G47	0.010000
G1	G51	0.010000
G1	G52	0.010000
G1	G53	0.010000
G1	G56	0.010000
G1	G57	0.010000
G1	G59	0.010000
G1	G62	0.010000
G1	G63	0.010000
G1	G64	0.010000
G1	G65	0.010000
G1	G66	0.010000
G1	G67	0.010000
G1	G68	0.010000
G1	G69	0.010000
G1	G70	0.010000
G1	G72	0.010000
G1	G74	0.010000
G1	G75	0.010000
G1	G77	0.010000
G1	G78	0.010000
G1	G80	0.010000
G1	G81	0.010000
G1	G82	0.010000
G1	G84	0.010000
G1	G85	0.010000
G1	G86	0.010000
G1	G87	0.010000
G1	G89	0.010000
G1	G90	0.010000
G1	G93	0.010000
G1	G95	0.010000
G1	G98	0.010000
G1	G99	0.010000
G1	G100	0.010000
G2	G7	0.010000
G2	G14	0.010000
G2	G15	0.010000
G2	G16	0.010000
G2	G17	0.010000
G2	G19	0.010000
G2	G20	0.010000
G2	G21	0.010000
G2	G22	0.010000
G2	G23	0.010000
G2	G24	0.010000
G2	G25	0.010000
G2	G26	0.010000
G2	G28	0.010000
G2	G29	0.010000
G2	G30	0.010000
G2	G31	0.010000
G2	G32	0.010000
G2	G34	0.010000
G2	G37	0.010000
G2	G38	0.010000
G2	G42	0.010000
G2	G43	0.010000
G2	G46	0.010000
G2	G47	0.010000
G2	G48	0.010000
G2	G49	0.010000
G2	G50	0.010000
G2	G51	0.010000
G2	G52	0.010000
G2	G53	0.010000
G2	G54	0.010000
G2	G56	0.010000
G2	G61	0.010000
G2	G62	0.010000
G2	G63	0.010000
G2	G64	0.010000
G2	G65	0.010000
G2	G66	0.010000
G2	G67	0.010000
G2	G68	0.010000
G2	G69	0.010000
G2	G70	0.010000
G2	G71	0.010000
G2	G72	0.010000
G2	G74	0.010000
G2	G75	0.010000
G2	G76	0.010000
G2	G77	0.010000
G2	G78	0.010000
G2	G79	0.010000
G2	G80	0.010000
G2	G81	0.010000
G2	G83	0.010000
G2	G84	0.010000
G2	G87	0.010000
G2	G88	0.010000
G2	G89	0.010000
G2	G90	0.010000
G2	G91	0.010000
G2	G92	0.010000
G2	G93	0.010000
G2	G94	0.010000
G2	G95	0.010000
G2	G96	0.010000
G2	G97	0.010000
G2	G98	0.010000
G2	G99	0.010000
G2	G100	0.010000
G3	G2	0.010000
G3	G4	0.010000
G3	G8	0.010000
G3	G11	0.010000
G3	G12	0.010000
G3	G13	0.010000
G3	G14	0.010000
G3	G15	0.010000
G3	G16	0.010000
G3	G17	0.010000
G3	G18	0.010000
G3	G20	0.010000
G3	G21	0.010000
G3	G22	0.010000
G3	G23	0.010000
G3	G24	0.010000
G3	G25	0.010000
G3	G27	0.010000
G3	G30	0.010000
G3	G31	0.010000
G3	G32	0.010000
G3	G33	0.010000
G3	G34	0.010000
G3	G36	0.010000
G3	G37	0.010000
G3	G39	0.010000
G3	G40	0.010000
G3	G41	0.010000
G3	G42	0.010000
G3	G47	0.010000
G3	G48	0.010000
G3	G49	0.010000
G3	G50	0.010000
G3	G51	0.010000
G3	G52	0.010000
G3	G53	0.010000
G3	G54	0.010000
G3	G55	0.010000
G3	G56	0.010000
G3	G57	0.010000
G3	G58	0.010000
G3	G59	0.010000
G3	G60	0.010000
G3	G61	0.010000
G3	G63	0.010000
G3	G64	0.010000
G3	G65	0.010000
G3	G66	0.010000
G3	G67	0.010000
G3	G68	0.010000
G3	G69	0.010000
G3	G70	0.010000
G3	G71	0.010000
G3	G72	0.010000
G3	G73	0.010000
G3	G74	0.010000
G3	G75	0.010000
G3	G76	0.010000
G3	G77	0.010000
G3	G79	0.010000
G3	G80	0.010000
G3	G81	0.010000
G3	G85	0.010000
G3	G86	0.010000
G3	G88	0.010000
G3	G89	0.010000
G3	G90	0.010000
G3	G91	0.010000
G3	G92	0.010000
G3	G93	0.010000
G3	G94	0.010000
G3	G95	0.010000
G3	G97	0.010000
G3	G100	0.010000
G4	G1	0.010000
G4	G2	0.010000
G4	G6	0.010000
G4	G9	0.010000
G4	G10	0.010000
G4	G13	0.010000
G4	G14	0.010000
G4	G15	0.010000
G4	G16	0.010000
G4	G17	0.010000
G4	G18	0.010000
G4	G19	0.010000
G4	G20	0.010000
G4	G21	0.010000
G4	G24	0.010000
G4	G25	0.010000
G4	G26	0.010000
G4	G30	0.010000
G4	G32	0.010000
G4	G33	0.010000
G4	G34	0.010000
G4	G35	0.010000
G4	G37	0.010000
G4	G38	0.010000
G4	G40	0.010000
G4	G41	0.010000
G4	G42	0.010000
G4	G43	0.010000
G4	G46	0.010000
G4	G47	0.010000
G4	G50	0.010000
G4	G51	0.010000
G4	G52	0.010000
G4	G53	0.010000
G4	G55	0.010000
G4	G56	0.010000
G4	G58	0.010000
G4	G59	0.010000
G4	G60	0.010000
G4	G62	0.010000
G4	G63	0.010000
G4	G64	0.010000
G4	G66	0.010000
G4	G67	0.010000
G4	G68	0.010000
G4	G69	0.010000
G4	G70	0.010000
G4	G71	0.010000
G4	G73	0.010000
G4	G74	0.010000
G4	G75	0.010000
G4	G76	0.010000
G4	G77	0.010000
G4	G79	0.010000
G4	G80	0.010000
G4	G81	0.010000
G4	G82	0.010000
G4	G83	0.010000
G4	G84	0.010000
G4	G85	0.010000
G4	G86	0.010000
G4	G87	0.010000
G4	G88	0.010000
G4	G89	0.010000
G4	G91	0.010000
G4	G92	0.010000
G4	G93	0.010000
G4	G94	0.010000
G4	G97	0.010000
G4	G98	0.010000
G4	G99	0.010000
G5	G1	0.010000
G5	G3	0.010000
G5	G4	0.010000
G5	G7	0.010000
G5	G9	0.010000
G5	G11	0.010000
G5	G13	0.010000
G5	G15	0.010000
G5	G16	0.010000
G5	G17	0.010000
G5	G18	0.010000
G5	G21	0.010000
G5	G22	0.010000
G5	G23	0.010000
G5	G25	0.010000
G5	G26	0.010000
G5	G27	0.010000
G5	G28	0.010000
G5	G30	0.010000
G5	G31	0.010000
G5	G32	0.010000
G5	G34	0.010000
G5	G35	0.010000
G5	G36	0.010000
G5	G37	0.010000
G5	G38	0.010000
G5	G39	0.010000
G5	G40	0.010000
G5	G42	0.010000
G5	G43	0.010000
G5	G44	0.010000
G5	G47	0.010000
G5	G50	0.010000
G5	G51	0.010000
G5	G52	0.010000
G5	G53	0.010000
G5	G54	0.010000
G5	G56	0.010000
G5	G57	0.010000
G5	G59	0.010000
G5	G61	0.010000
G5	G62	0.010000
G5	G63	0.010000
G5	G64	0.010000
G5	G65	0.010000
G5	G66	0.010000
G5	G67	0.010000
G5	G68	0.010000
G5	G69	0.010000
G5	G70	0.010000
G5	G71	0.010000
G5	G72	0.010000
G5	G73	0.010000
G5	G74	0.010000
G5	G75	0.010000
G5	G76	0.010000
G5	G77	0.010000
G5	G78	0.010000
G5	G79	0.010000
G5	G81	0.010000
G5	G84	0.010000
G5	G86	0.010000
G5	G87	0.010000
G5	G89	0.010000
G5	G90	0.010000
G5	G92	0.010000
G5	G93	0.010000
G5	G94	0.010000
G5	G95	0.010000
G5	G96	0.010000
G5	G97	0.010000
G5	G99	0.010000
G5	G100	0.010000
G6	G1	0.010000
G6	G2	0.010000
G6	G3	0.010000
G6	G7	0.010000
G6	G8	0.010000
G6	G14	0.010000
G6	G16	0.010000
G6	G17	0.010000
G6	G19	0.010000
G6	G21	0.010000
G6	G22	0.010000
G6	G23	0.010000
G6	G25	0.010000
G6	G27	0.010000
G6	G30	0.010000
G6	G31	0.010000
G6	G32	0.010000
G6	G34	0.010000
G6	G35	0.010000
G6	G36	0.010000
G6	G37	0.010000
G6	G38	0.010000
G6	G39	0.010000
G6	G41	0.010000
G6	G42	0.010000
G6	G43	0.010000
G6	G45	0.010000
G6	G46	0.010000
G6	G48	0.010000
G6	G49	0.010000
G6	G50	0.010000
G6	G51	0.010000
G6	G52	0.010000
G6	G54	0.010000
G6	G55	0.010000
G6	G56	0.010000
G6	G58	0.010000
G6	G59	0.010000
G6	G60	0.010000
G6	G61	0.010000
G6	G62	0.010000
G6	G63	0.010000
G6	G64	0.010000
G6	G65	0.010000
G6	G66	0.010000
G6	G69	0.010000
G6	G70	0.010000
G6	G72	0.010000
G6	G73	0.010000
G6	G74	0.010000
G6	G75	0.010000
G6	G78	0.010000
G6	G79	0.010000
G6	G80	0.010000
G6	G81	0.010000
G6	G82	0.010000
G6	G83	0.010000
G6	G84	0.010000
G6	G85	0.010000
G6	G86	0.010000
G6	G87	0.010000
G6	G88	0.010000
G6	G89	0.010000
G6	G90	0.010000
G6	G91	0.010000
G6	G92	0.010000
G6	G94	0.010000
G6	G95	0.010000
G6	G97	0.010000
G6	G98	0.010000
G6	G100	0.010000
G7	G2	0.010000
G7	G5	0.010000
G7	G6	0.010000
G7	G8	0.010000
G7	G9	0.010000
G7	G10	0.010000
G7	G11	0.010000
G7	G12	0.010000
G7	G13	0.010000
G7	G14	0.010000
G7	G15	0.010000
G7	G16	0.010000
G7	G18	0.010000
G7	G19	0.010000
G7	G20	0.010000
G7	G21	0.010000
G7	G22	0.010000
G7	G23	0.010000
G7	G24	0.010000
G7	G25	0.010000
G7	G26	0.010000
G7	G27	0.010000
G7	G28	0.010000
G7	G29	0.010000
G7	G32	0.010000
G7	G33	0.010000
G7	G34	0.010000
G7	G35	0.010000
G7	G38	0.010000
G7	G39	0.010000
G7	G40	0.010000
G7	G41	0.010000
G7	G43	0.010000
G7	G44	0.010000
G7	G45	0.010000
G7	G46	0.010000
G7	G47	0.010000
G7	G48	0.010000
G7	G50	0.010000
G7	G51	0.010000
G7	G53	0.010000
G7	G54	0.010000
G7	G56	0.010000
G7	G58	0.010000
G7	G61	0.010000
G7	G62	0.010000
G7	G63	0.010000
G7	G64	0.010000
G7	G65	0.010000
G7	G66	0.010000
G7	G67	0.010000
G7	G68	0.010000
G7	G69	0.010000
G7	G70	0.010000
G7	G72	0.010000
G7	G73	0.010000
G7	G76	0.010000
G7	G77	0.010000
G7	G78	0.010000
G7	G80	0.010000
G7	G81	0.010000
G7	G82	0.010000
G7	G83	0.010000
G7	G85	0.010000
G7	G86	0.010000
G7	G88	0.010000
G7	G89	0.010000
G7	G91	0.010000
G7	G93	0.010000
G7	G94	0.010000
G7	G95	0.010000
G7	G96	0.010000
G7	G97	0.010000
G7	G98	0.010000
G7	G99	0.010000
G7	G100	0.010000
G8	G1	0.010000
G8	G2	0.010000
G8	G3	0.010000
G8	G5	0.010000
G8	G6	0.010000
G8	G7	0.010000
G8	G9	0.010000
G8	G10	0.010000
G8	G12	0.010000
G8	G13	0.010000
G8	G15	0.010000
G8	G17	0.010000
G8	G18	0.010000
G8	G19	0.010000
G8	G22	0.010000
G8	G24	0.010000
G8	G25	0.010000
G8	G26	0.010000
G8	G30	0.010000
G8	G33	0.010000
G8	G34	0.010000
G8	G36	0.010000
G8	G37	0.010000
G8	G39	0.010000
G8	G40	0.010000
G8	G41	0.010000
G8	G43	0.010000
G8	G44	0.010000
G8	G46	0.010000
G8	G47	0.010000
G8	G49	0.010000
G8	G50	0.010000
G8	G51	0.010000
G8	G52	0.010000
G8	G53	0.010000
G8	G54	0.010000
G8	G55	0.010000
G8	G56	0.010000
G8	G57	0.010000
G8	G58	0.010000
G8	G61	0.010000
G8	G64	0.010000
G8	G65	0.010000
G8	G66	0.010000
